"","x"
"591",0.0710132417467988
"592",0.0435361277507039
"593",0.0237355688781581
"594",0.011346571764407
"595",0.00471816728093236
"596",0.0604936744398143
"597",0.0354451054219506
"598",0.018325829025012
"599",0.00826065405050655
"600",0.0032273493494561
"601",0.0536457460412529
"602",0.030352911245205
"603",0.015060368112962
"604",0.00648308407666849
"605",0.00241022444218445
"606",0.0540229746661173
"607",0.0304015304919153
"608",0.0149207604143793
"609",0.00631090883900117
"610",0.00228842645998415
"611",0.0458666870918766
"612",0.0244382011017281
"613",0.0112117722292936
"614",0.00438160782759861
"615",0.00145319963262703
"616",0.0460219742446067
"617",0.0242369220413301
"618",0.0108857042349539
"619",0.00411806970091104
"620",0.0013062616596413
"621",0.0378170267117658
"622",0.0187057908746488
"623",0.00780360214013839
"624",0.00271795779053343
"625",0.000788508714714363
"626",0.0385813930987797
"627",0.0191253770791668
"628",0.00798001499199563
"629",0.00277247348673603
"630",0.000799879703926743
"631",0.0445948319566151
"632",0.023158462283683
"633",0.0102065010344527
"634",0.00376988873969638
"635",0.00116190217476401
"636",0.0598497964063518
"637",0.0344035042785326
"638",0.0172088041922411
"639",0.00738020864137705
"640",0.00269369294901966
"641",0.0632740309746634
"642",0.0367015237738236
"643",0.0184485560764651
"644",0.00789727678734084
"645",0.00285238480818518
"646",0.0620454532111936
"647",0.0355947540773042
"648",0.0175925548308429
"649",0.007354672954295
"650",0.00257578592962633
"651",0.058571196667777
"652",0.03273201046018
"653",0.0155845114210281
"654",0.00620102338816555
"655",0.00204212102550388
"656",0.0642998938828244
"657",0.0370234999778488
"658",0.018265006967706
"659",0.00755864505647184
"660",0.00259384960501188
"661",0.0627469838818721
"662",0.0356350641430774
"663",0.0172069623796371
"664",0.00690768372841108
"665",0.0022779264506545
"666",0.0530986662880246
"667",0.0279977381596448
"668",0.0121881723243132
"669",0.00427829076085366
"670",0.00119766984072989
"671",0.0515303212422929
"672",0.0267495818825779
"673",0.0113816439121072
"674",0.00387445291097699
"675",0.00104366686794411
"676",0.035376527766459
"677",0.0166033667089636
"678",0.00634591584306384
"679",0.00194590607138133
"680",0.0353279849043456
"681",0.0162697387751632
"682",0.00600849080931995
"683",0.00174877557345967
"684",0.0544136363625316
"685",0.0283730424429992
"686",0.0119755151485017
"687",0.00397012780654254
"688",0.00101887215201739
"689",0.0301516926237299
"690",0.0124220627282837
"691",0.00387917458573022
"692",0.00089877820186052
"693",0.072905483819633
"694",0.0420519059070338
"695",0.019890347574103
"696",0.00737114196253504
"697",0.00208091520032683
"698",0.0446328438986402
"699",0.0211596395667517
"700",0.00771530355652885
"701",0.00208777228340087
"702",0.0696878924614131
"703",0.0388754906217525
"704",0.0172499666097468
"705",0.005756219179206
"706",0.00139680074599501
"707",0.0709018728584775
"708",0.0397112753752511
"709",0.0176274829315564
"710",0.00583980536319705
"711",0.00139210234053731
"712",0.0674647708014043
"713",0.0364837570226392
"714",0.0151522096468862
"715",0.00450428595683894
"716",0.000919674431498218
"717",0.0544812682349411
"718",0.0265033284902984
"719",0.00949907292297452
"720",0.00235667148888586
"721",0.000392541940009464
"722",0.039071054516074
"723",0.0163564549176744
"724",0.00488347817638602
"725",0.000995562449501865
"726",0.000136496492513178
"727",0.0416386067513186
"728",0.0176516669869171
"729",0.0052579544900146
"730",0.00104452115729829
"731",0.000135691274656277
"732",0.0398383316165949
"733",0.0160399126301799
"734",0.0043343032684589
"735",0.000739541152606903
"736",7.79581422755771e-05
"737",0.0435915521068177
"738",0.0176573598653892
"739",0.00455832860002738
"740",0.000686831951106726
"741",5.83667796274564e-05
"742",0.0477695913140448
"743",0.0199795765866449
"744",0.00520879683362094
"745",0.000756635149926362
"746",5.84017491010107e-05
"747",0.0535607086969727
"748",0.0238338066132228
"749",0.00667083453925668
"750",0.00102724105900794
"751",8.17299602597878e-05
"752",0.0403316163062474
"753",0.0146348432802374
"754",0.00297850572296695
"755",0.000301418909691448
"756",1.45454542103739e-05
"757",0.0105570504291983
"758",0.00169930789747637
"759",0.000125209206920011
"760",4.09315309236423e-06
"761",0.0118198548698269
"762",0.00168245398356225
"763",9.035329021662e-05
"764",1.7337076606801e-06
"765",0.0318294241389531
"766",0.00829290095565235
"767",0.0008331631240359
"768",2.6701514266132e-05
"769",2.61891325069079e-07
"770",0.0308591817923316
"771",0.00725114025165575
"772",0.000549323134722554
"773",1.05927443554694e-05
"774",4.97288844726659e-08
"775",0.00674320597510265
"776",0.000404704259793598
"777",4.98390428027659e-06
"778",1.19875671996168e-08
"779",0.0199969907242264
"780",0.00242778543353501
"781",5.09755178062312e-05
"782",1.45704175322682e-07
"783",5.7440386497454e-11
"784",0.00984889781247023
"785",0.000255487582431484
"786",2.52703399763767e-07
"787",7.84572023154902e-12
"788",4.75418951765376e-18
"789",0.0103921795254414
"790",0.000178440356893404
"791",4.70059163089576e-08
"792",1.45177880463556e-13
"793",0
"794",0.000637371376355122
"795",1.31864014561476e-07
"796",7.58093416503739e-14
"797",0
"798",0.000181548973138751
"799",5.19157677368459e-10
"800",-8.60355100611909e-18
"801",0
"802",0.00130370585893067
"803",2.42757688893591e-10
"804",0
"805",0
